Word,Emotion,Polarity,Social,Moral,Thought
combination,2.69,3.03,3.12,2.29,3.84
comparison,3.76,3.45,4,3.71,5.25
competence,4.21,5.21,4.24,4.94,5.44
complication,3.76,3.85,3.94,3.71,4.16
composer,3.09,3,2.77,2.15,5.07
comprehension,4.03,4.15,3.79,4.68,5.84
conclusion,3.14,4.06,3.03,3.65,5.38
conference,2.45,3.2,4.61,3.31,3.5
confidence,5.14,5.36,4.36,4.06,4.97
conscience,4.91,5.5,4.08,5.69,5.36
consequence,3.9,4.18,3.58,4.97,5.38
consideration,4.76,4.09,4.52,5.06,4.94
consistency,3.66,3.48,3.61,4.65,4.69
construction,2.59,2.65,2.47,3.29,4
contempt,5.82,4.2,3.92,4.61,5.14
context,3.03,3.52,3.21,4,5.06
contract,1.91,2.9,4.16,3.69,3.43
convergence,2.9,3.18,4,3,4.09
core,2.64,3.7,2.3,2.46,2.5
corn,1.66,2.94,1.73,1.58,1.44
corporation,2.55,3.36,4.76,2.48,2.75
corpse,3.34,3.45,2.18,1.74,1.94
correspondent,2.37,3,3.54,2.31,3.93
costume,2.22,2.58,2.19,2.1,3.09
cottage,2.55,3.61,2.27,1.61,1.88
coupon,1.97,3.3,2.15,2.03,1.88
cow,2.03,3.24,1.42,1.58,1.47
cowardice,4.69,3.52,3.61,3.9,3.97
cranberry,1.93,2.91,1.58,1.52,1.44
crime,3.55,3.4,3.38,4.31,3.22
crisis,3.8,4,2.67,3.57,3.67
criticism,4,6.5,3,5,5.17
crocodile,1.79,3.27,1.39,1.68,1.53
crown,2.45,2.97,2.58,1.84,1.72
cucumber,2.21,3.18,1.73,1.58,1.56
cup,2,2.76,1.64,1.52,1.5
curfew,2.37,3,2.54,2.23,2.64
dad,4.28,5.94,5.3,3.06,3.22
dagger,2.33,2.17,1.69,2.5,2.5
damage,2.91,3.8,2.15,3.31,2.71
danger,4.38,4.27,2.85,3.74,4.13
darkness,3.14,4,1.88,2.52,2.25
debt,2.8,4.25,2.33,3.14,1.83
deceit,4.4,6.5,3.5,4.71,5.5
decision,4.21,4.15,4.18,5.65,6.16
deduction,2.86,3.45,2.79,3.1,4.5
definition,2.41,3.39,3.15,3.19,4.47
degree,2.55,3.7,2.31,3.23,3.58
democracy,3.52,4.67,5.27,4.26,4.38
denial,4.41,3.82,3.94,3.1,4.38
dentist,3.07,4.18,3.61,1.97,2.53
deputy,1.73,3.2,2.85,2.23,3.14
description,3.17,3.45,3.12,2.61,4.88
design,2.55,4.4,2.62,2.77,4.36
desk,1.66,3.06,1.7,1.87,1.91
despair,5.18,4.5,2.46,3.62,4.86
destiny,4.28,4.61,3.91,3.81,4.19
determination,4.76,4.73,4.39,4.74,5.56
development,3.69,3.82,4.36,4.29,5.03
diamond,3.07,3.85,2.88,1.71,1.88
diet,2.67,3.7,2.24,3.17,3.88
difference,3.55,3.88,3.18,3.03,3.91
dilemma,4.52,4,3.39,4.39,4.72
dimension,2.93,3.52,2.39,2.58,4.31
disagreement,5.4,4.25,4.33,5,5.83
disappointment,5.18,4.3,3.3,3.77,4.79
disaster,4.31,4.33,3.09,3.32,2.94
disgust,6.09,4.2,2.46,3.46,5.22
distance,2.24,3.17,2.12,2.74,2.19
distraction,3.76,3.33,3.58,3.19,3.44
distribution,2.38,3.21,2.88,2.48,3.5
ditch,1.55,2.8,2.38,2.15,2.29
