Word,Emotion,Polarity,Social,Moral,Thought
salary,2.5,4.5,2.63,3.6,2.8
saloon,2.1,3.27,2.91,1.61,1.72
sanctuary,3.75,3.72,2.02,3.25,4.5
sandal,1.72,2.76,1.94,1.52,1.72
satisfaction,5.9,5.09,4.67,4.19,5.19
scene,1.5,3.71,2.58,2.25,2.55
scent,2.44,4.29,2.15,2.75,3.65
scholar,2.42,4.3,3.45,3.09,4.94
season,1.84,3.09,2.69,2.42,3.82
second,2.22,3,2.13,1.7,3.17
security,4.22,4.75,4.63,4.2,4.34
sedative,3.09,4.4,2,2.38,2.78
segment,2.27,2.9,2.08,2.54,2.22
selection,2.79,3.33,2.85,3.23,4.28
self,4.27,5.4,3.77,5.53,5.43
separation,4.24,3.73,3.88,3,3.41
shame,5.36,4.4,2.93,4.23,5.07
shape,2,2.83,2.04,2.11,2.54
shark,2.76,3.42,1.64,1.68,1.53
shirt,2.17,3.03,2,1.71,1.66
shock,5.09,4.1,2.46,2.77,5.15
shortness,2.27,3.4,2.54,2.08,2.5
show,2.37,4.5,2.77,2.31,3.72
shrimp,1.79,3.33,1.48,1.55,1.53
sight,3,4,2.69,3.61,4.71
significance,4.34,3.82,4.48,4.19,4.72
silence,2.63,3.6,2.69,1.84,4.29
sister,3.9,4.39,5.09,2.65,3.41
site,1.73,3.1,1.77,2.77,2.43
situation,3.76,3.76,4.15,4.06,4.97
size,2,3.6,2.23,3,2.86
skill,3.28,4.73,3.67,3.55,5.31
skin,2.69,3.45,2.7,1.87,2.03
skull,2.41,3.03,2.09,1.84,1.84
skunk,2.31,3.06,1.39,1.74,1.59
sky,2.69,4.12,2.09,1.71,1.97
smell,1.91,4.4,2.84,2.46,3.5
snake,2.79,3.64,1.61,1.58,1.56
sneeze,2.14,3.07,2.08,1.94,2.94
snow,2.55,4.03,1.94,2,1.88
sofa,2.24,2.94,2.09,1.71,1.63
sole,1.63,2.6,2.69,2.15,2
soul,4.84,4.6,3.27,4.42,5.75
sow,1.91,2.5,1.92,2.31,2.79
specialist,2.09,4,3.62,3.07,4.5
specimen,2.17,3.17,2.34,2.42,3.44
speech,2.94,3.29,3.84,3.35,5.1
spelling,2.09,3.5,2.15,3.31,4.22
spider,2.52,3.48,1.79,1.74,1.72
spirit,5.11,4.67,4.31,4.5,4.83
square,1.82,2.8,2,2.61,1.93
squeak,2,2,1.85,1.69,2.43
standard,2.89,4.25,2.31,4.7,4.75
stapler,1.59,2.7,1.67,1.48,1.63
starch,2,2.6,1.77,2.39,2
state,2.54,3.1,2.77,2.46,3.36
station,1.91,3.1,2.31,2.38,2.43
steam,1.82,2.6,1.92,2.46,2.28
stick,1.82,2.6,2,2,2.22
stimulus,3.48,3.58,3.27,2.97,4.53
story,3.21,3.79,2.86,3.21,4.57
stranger,2.21,2.98,4.23,2.29,2.99
street,1.54,2.8,2.23,3.31,1.79
stride,2,3.4,2.23,2.85,3
student,2.82,4.2,4.46,2.77,3.72
stupidity,4.14,3.76,3.82,3.23,4.03
subtraction,2,2.8,2,2.23,3.43
sugar,2.28,3.82,1.85,1.84,1.59
suggestion,3.67,3.42,2.75,2.6,5
suit,2.44,2.83,1.94,2.4,2.83
summer,2.31,4.5,2.11,2.75,2.8
supply,2.37,3.7,2,3,2.57
suspect,2.91,3.3,3.46,2.92,4.21
sword,2.44,2.17,1.38,1.8,2.75
synagogue,2.64,3.1,3.38,2.69,2.64
talent,3.22,5.42,3.12,3.9,4.34
tallness,1.91,3.7,2.92,2.07,2.93
tax,2.45,3.5,3.08,3.23,2.57
teacher,2.27,4.8,5.08,3.38,4.57
television,2.45,4.55,3.27,2.06,2.09
temperature,2.36,3,2.15,2.61,3.21
temple,2.73,2.5,2.77,2.92,2.71
tendency,3.72,3.58,3,4,4.63
tennis,2.21,3.12,2.88,1.52,1.5
tension,4.46,4.3,4.77,3.53,5.72
territory,2.46,3.7,3.07,3.23,2.79
theory,3.52,3.97,2.97,3.45,6.31
thief,3.27,3,3.38,4.15,2.72
thing,2.27,2.8,2.08,1.92,3.14
thorn,2.38,3.45,1.48,1.61,2.03
thought,4.91,4.8,3.08,5.38,6.36
three,2.18,2.9,1.77,2,2.07
tide,1.82,2.9,1.62,2.77,2.43
time,2.78,4.17,3.56,3.7,4.34
tip,1.91,3.5,2.08,2.62,3.43
toilet,2.48,2.82,2.18,1.84,1.44
tomato,1.9,3.27,1.73,1.58,1.56
tongue,2.62,3.7,3.15,1.77,2.59
tool,2.17,3.3,2.06,1.84,2.22
topic,2.76,3.06,3.09,2.77,4.25
towel,2.21,3.03,2,1.52,1.69
tradition,4.45,4.97,4.52,3.77,3.78
tragedy,4.37,4.2,3,3.85,4.64
translation,3.17,3.03,3.7,2.55,4.88
traveler,2,3.8,3.62,3.23,4
tree,2.59,4.09,2.06,1.58,1.88
truck,1.93,2.85,2.06,1.68,1.59
trumpet,2.44,2.17,1.25,1.7,3.67
trust,5.89,5.83,5.69,6,5.34
truth,5.48,5.52,4.58,6.26,5.53
tune,2.36,3.5,1.92,2.46,3.14
twig,1.63,2.3,1.77,2.38,1.57
typewriter,1.69,2.58,1.88,1.61,1.84
uncertainty,4.45,3.48,3.79,3.77,5.53
uncle,2.56,2.17,5.62,1.8,2.75
underworld,1.59,2.42,1.73,2.54,2.88
uniform,3,2.83,2,2.5,3.17
unit,2.66,2.64,3.27,2.26,1.94
unity,4.83,4.27,5.73,4.26,4.38
university,2.34,4.79,4.48,2.71,5.75
value,3.45,4.7,2.46,4.61,4.93
vapor,1.73,2.4,1.84,2.23,3
variety,2.79,3.79,3.12,2.52,3.53
verse,2.82,2.6,2.08,2.61,3.57
victim,3.64,4.6,4.77,3.23,3
view,2.18,4.1,3.08,4.23,5.14
vision,3.18,3.8,2.38,4,5.79
visitor,2.64,3.4,4.77,3.31,2.5
vocabulary,2.86,3.94,3.36,2.39,4.94
volcano,2.48,3.18,1.73,2.03,1.59
volt,2.18,2.9,1.92,2.23,2.43
volume,2.27,3.6,1.69,2.53,2.93
wage,2.18,4.2,2.39,3.38,3.43
wallet,2.38,3.64,2.3,2.29,1.69
want,5.33,4.92,3.19,3.9,5.42
waste,2.17,3.27,1.66,2.25,2.94
water,2.33,3.58,1.87,2.4,3.33
wave,3.11,2.66,2.56,2.1,3.84
weather,2,4.5,2.08,2.92,3.36
weight,2.45,3.4,2.23,2.69,3
willingness,4.97,4.36,4.24,4.61,5.09
window,2.1,2.85,1.97,1.65,2.22
winter,2.3,4.25,1.67,2.93,2.25
wisdom,4.41,5.58,4.45,5.48,6.09
wish,4.54,4.3,2.77,3.08,4.93
witness,2.91,3.2,4.31,2.69,4.28
wolf,2.45,3.42,1.58,1.65,1.72
woman,3.97,4.7,4.79,2.55,2.84
wood,2.11,1.92,1.63,1.6,2.59
worry,5.54,4.4,3.54,3.84,5.07
writing,3.46,4.3,2.77,3,4.86
youth,3.64,4.5,3,3.15,3.07
zoo,2.48,3.61,2.12,1.55,2.84
