"Occurrences","Word","LgSUBTLWF","OLD","PLD","I_Mean_RT","I_Zscore","I_Mean_Accuracy"
"1","confidential","2.535","3.700","3.950","715.121","-0.161","0.94"
"1","configuration","1.690","3.450","4.400","674.303","-0.212","1.00"
"1","confine","1.708","1.850","2.300","692.194","-0.277","0.91"
"1","confinement","1.613","3.400","3.450","732.774","-0.108","0.94"
"1","confirm","2.868","2.400","2.050","645.303","-0.503","0.97"
"1","confiscate","1.708","3.650","3.700","974.190","0.689","0.70"
"1","conflict","2.648","2.800","3.000","597.471","-0.627","1.00"
"1","conform","1.653","2.200","2.550","648.000","-0.404","0.91"
"1","confound","1.778","2.900","2.700","662.759","-0.280","0.88"
"1","confront","2.340","2.850","2.950","756.206","-0.212","1.00"
"1","confrontation","1.996","3.650","3.500","829.727","0.067","0.97"
"1","confuse","2.387","2.400","2.550","703.800","-0.363","1.00"
"1","confusion","2.561","2.350","2.600","683.970","-0.420","1.00"
"1","congestion","1.398","2.500","3.400","811.062","0.031","0.97"
"1","conglomerate","1.602","4.600","5.400","898.640","0.482","0.81"
"1","congratulate","2.555","4.150","5.600","853.581","0.295","0.97"
"1","congregation","2.072","3.350","3.600","785.559","-0.035","1.00"
"1","congress","2.623","2.700","2.750","644.030","-0.397","1.00"
"1","congressman","2.513","4.050","4.150","736.471","-0.029","1.00"
"1","conjecture","1.633","3.450","3.300","789.926","0.058","0.84"
"1","conjugal","1.613","3.000","3.700","871.227","0.285","0.67"
"1","conjure","1.813","2.450","2.150","708.269","-0.214","0.76"
"1","connect","2.693","1.950","1.950","593.242","-0.762","1.00"
"1","connection","3.142","2.150","1.950","675.812","-0.361","0.94"
"1","connoisseur","1.505","4.700","3.750","836.682","0.234","0.67"
"1","conquer","2.406","2.650","1.850","747.167","-0.180","0.91"
"1","conquering","1.740","3.000","2.700","757.226","-0.110","0.94"
"1","conqueror","1.763","3.400","2.900","860.857","0.022","0.85"
"1","conquest","1.987","2.700","3.450","658.091","-0.403","1.00"
"1","conscience","2.851","3.050","2.850","718.375","-0.279","1.00"
"1","consecutive","1.924","3.550","4.350","814.065","0.112","1.00"
"1","consensus","1.924","3.250","3.000","836.581","0.039","0.94"
"1","consent","2.580","1.900","2.250","672.382","-0.267","0.97"
"1","consenting","1.398","2.400","2.500","860.968","0.167","0.97"
"1","consequence","2.207","3.200","3.300","688.970","-0.343","0.97"
"1","conservation","1.518","2.700","2.700","727.188","-0.165","0.97"
"1","conservatory","1.845","4.100","5.450","799.548","0.005","0.94"
"1","conserve","1.653","2.650","2.300","665.353","-0.508","1.00"
"1","consider","3.428","2.450","2.550","646.848","-0.616","1.00"
"1","consideration","2.525","3.250","3.800","714.235","-0.102","1.00"
