No,Word,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised
33,red,0.5000,0.1786,0.1429,0.3571,0.1786,0.5357,1.3214,1.1071,0.8929,0.7500,0.2500,3.8929,0.3571,0.8214,0.7857
140,reporter,3.2333,5.6333,3.1000,0.3667,1.4000,3.3667,2.0667,1.7000,1.7000,1.2667,1.4333,2.0333,1.3000,1.2000,1.8333
170,restaurant,4.0000,0.2500,1.2500,0.3214,0.0714,2.7500,0.3929,4.5714,0.1429,3.6786,0.1429,0.1071,0.3929,0.1071,0.5000
519,ricochet,0.9286,0.1429,0.2143,0.0714,0.2500,0.4643,3.3929,0.6429,1.7857,0.6071,0.5000,0.8571,0.1786,1.7500,3.4286
531,riot,5.5926,3.0370,2.5556,0.0000,0.8148,0.6667,5.4815,0.2222,4.6667,0.0000,2.6667,3.3704,3.3333,4.4074,2.8889
171,river,0.3333,0.1000,0.3667,0.3667,0.1000,2.8333,2.3333,4.1333,0.1667,3.4333,0.1333,0.1000,0.1000,0.6667,0.5000
445,rocket,1.6000,0.3333,0.6667,0.0667,0.1667,3.0000,3.0667,1.7000,0.2667,1.2333,0.1667,0.1000,0.0667,0.9000,1.7333
483,role,4.3913,2.7826,2.9130,2.9130,3.7826,3.1739,1.0435,1.3043,0.9130,2.3043,0.8261,1.0870,0.7391,0.9565,1.0870
334,rose,1.9000,0.0667,1.5667,0.5333,0.1333,1.9667,0.4333,4.6333,0.3667,4.3333,0.5000,0.3333,0.1000,0.2333,1.9667
380,rum,1.5556,0.0000,0.2963,0.0741,0.0741,1.1481,2.6667,3.4815,0.8148,3.3704,0.7037,0.3704,0.6296,0.1481,0.3333
505,rumor,5.1786,0.8571,4.0357,0.8214,3.1071,0.7500,4.5357,0.3929,4.4643,0.4286,3.2143,4.0000,3.0714,1.8571,2.3929
446,sailboat,1.8519,0.1852,0.4444,0.1111,0.6296,2.5926,1.1852,4.0741,0.2963,2.8148,0.1111,0.0741,0.1111,0.5556,0.7407
290,salmon,0.7097,0.7742,0.0000,0.0323,0.1613,2.1935,0.2258,2.2258,0.5806,1.0968,0.1613,0.0968,0.2581,0.0645,0.3226
432,sandpaper,0.3793,0.1379,0.1379,0.2069,0.2414,2.7241,1.0345,0.7241,0.7931,0.3793,0.0345,0.0000,0.2069,0.0345,0.1034
506,satire,3.3000,1.0667,4.2000,1.4667,3.6000,2.2667,1.1333,3.5333,0.9333,3.4667,1.2000,1.2333,1.0333,0.3667,2.0333
242,saw,1.6250,1.9583,2.4167,4.8333,2.9583,1.7500,0.5000,1.6667,0.3333,1.1667,0.2083,0.1667,0.5000,0.5833,1.3333
400,saxophone,1.5667,0.0667,1.9333,0.1333,1.4000,1.9333,0.3667,3.5333,0.6333,3.2333,0.8667,0.1000,0.0333,0.1000,1.1667
172,school,4.3077,1.0769,2.5385,2.0385,2.7692,5.0769,0.6154,1.9231,1.5385,1.8462,0.9231,0.6923,0.6154,0.5769,0.7308
141,scientist,0.9310,5.5517,0.5172,1.4138,2.3793,5.2759,1.6207,2.8966,0.6207,1.5862,0.3448,0.3793,0.4138,0.5172,1.3793
433,scissors,0.6786,0.1786,0.2857,0.4643,0.7500,2.5000,3.7500,0.8929,0.4643,0.4643,0.1429,0.1071,0.1429,0.7143,0.2500
447,scooter,1.0345,0.1379,0.3448,0.5517,0.3448,2.5517,2.4138,2.8621,0.3103,2.3103,0.2069,0.1034,0.1724,0.5862,0.6552
260,scream,2.0333,0.3667,3.9667,0.4000,1.4000,1.3667,0.9667,0.3333,4.4333,0.2333,1.8333,2.0667,1.0000,4.3333,4.9000
261,screech,1.1000,0.1000,1.8667,0.0000,0.6667,0.3667,2.3667,0.0333,4.3667,0.0667,0.8000,1.6333,0.9000,3.4667,4.4000
516,semester,3.5333,0.7000,0.8333,0.7333,1.7333,2.6333,0.2333,1.6667,1.2000,1.2667,0.7667,0.7667,0.2000,0.7000,0.5667
365,shame,2.3793,0.5517,1.0690,2.5862,5.2414,0.6897,2.5172,0.0690,5.2414,0.1379,4.7586,3.2069,3.0690,2.5862,1.5862
384,shelves,0.1724,0.0345,0.3448,0.5172,0.4483,2.6552,0.5862,1.8966,0.0690,1.1724,0.0690,0.0690,0.1034,0.0345,0.1034
21,shiny,0.0645,0.0323,0.1290,0.4194,0.1613,0.3226,0.3226,2.4839,0.0968,1.6774,0.0000,0.0323,0.0000,0.1290,0.4194
307,shoulder,0.4333,0.5333,1.1000,2.2000,0.4000,1.5333,1.1333,1.3333,0.2667,0.5333,0.0000,0.0333,0.0333,0.1000,0.1000
223,shouted,4.4000,3.4333,4.8333,1.5000,1.7333,1.1333,2.1333,0.7000,4.1667,0.9333,1.8000,5.0000,2.0333,2.6000,2.9333
22,sick,0.8571,0.7143,0.2857,0.4286,1.6429,0.0357,4.6071,0.0714,5.3571,0.0357,2.6071,0.8214,4.2143,1.3571,0.5000
507,sin,3.0345,1.7931,1.3448,1.9655,3.3793,0.8276,5.0690,0.8966,4.5172,1.0000,4.1034,3.8276,3.9310,3.6897,2.4483
448,sled,2.4516,0.0000,0.2258,0.1935,0.6452,1.5161,1.9677,3.7097,0.0645,3.9032,0.0000,0.0000,0.0323,0.6452,0.8387
