No,Word,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised
76,woman,1.1724,5.8966,0.8621,2.1379,0.8621,3.3793,1.6897,4.5172,0.4138,3.6552,0.6552,1.1724,0.2759,0.5172,1.3793
347,wonder,1.8077,0.4615,0.5769,1.9231,4.5769,2.6154,0.2308,4.5385,0.0385,4.5769,0.3846,0.2308,0.0385,0.3077,4.3846
236,worked,4.9286,4.8929,3.4286,5.1071,4.0714,4.7500,0.9643,1.9643,2.7143,2.2143,0.7500,1.1071,0.6429,0.2857,0.6786
150,worker,2.6667,5.5333,0.7333,2.7000,1.4667,4.4667,1.4667,1.7667,0.5000,1.1333,0.4333,0.4667,0.1000,0.1667,0.6333
492,worth,1.2500,0.8333,1.2500,5.0000,2.5417,3.6667,0.4167,2.7500,0.5417,3.5833,0.5417,0.7917,0.2500,0.4583,1.3333
237,wrote,2.2759,3.7241,5.7586,3.7241,4.8276,3.2414,1.0345,3.2414,0.8621,2.1034,0.8276,0.5172,0.3103,0.3793,0.2759
404,xylophone,1.5862,0.0345,1.1724,0.1034,1.0690,1.2414,0.0690,3.6897,0.2414,3.2414,0.2759,0.0690,0.0345,0.0345,1.0690
517,year,0.9655,0.0345,0.2414,0.2069,0.6552,0.8966,0.1724,0.8621,0.2069,0.8966,0.8966,0.2414,0.1724,0.3793,0.2414
35,yellow,0.3929,0.2857,0.0714,0.1786,0.2143,0.3571,0.2500,1.0714,0.3929,1.2143,0.4286,0.1786,0.2500,1.1429,0.4643
29,young,0.7778,2.1852,1.1111,2.7037,1.7407,0.9630,0.2222,2.3333,0.1852,2.3704,0.1111,0.0370,0.1111,0.6296,0.3704
493,zone,1.7600,0.3200,0.9600,0.1600,1.0000,1.8000,1.1200,0.9600,0.6800,0.7200,0.2400,0.2000,0.1600,0.6800,0.4800
419,zoo,3.5000,0.5333,0.9333,0.1000,0.7000,2.4667,1.0000,4.6333,0.4667,4.6000,0.5667,0.3333,0.5667,0.9667,1.9333
