Occurrences,Word,Length,LgSUBTLWF,Ortho_N,Phono_N,OLD,PLD,POS,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
1,spree,5,2.041,2,7,2,1.8,NN,749.939,0.97,715.269,1
1,spring,6,3.204,6,12,1.55,1.45,NN|VB,641.857,1,655.846,1
1,springtime,10,1.881,1,1,3.8,4.1,NN,766.97,1,741.783,0.958
1,sprinkler,9,1.681,2,0,2.8,3.45,NN|VB,695,1,720.143,1
1,sprint,6,1.568,2,1,1.85,1.9,NN|VB,699.909,0.97,713.75,0.923
1,spud,4,1.681,6,10,1.75,1.7,NN,815.2,0.74,686.346,1
1,spunk,5,1.839,4,4,1.65,1.7,NN,748.156,0.97,679.321,1
1,spunky,6,1.518,0,0,1.95,2,JJ,733.6,0.94,664.103,1
1,squabble,8,1.38,0,1,2.65,2.4,NN|VB,829.793,0.85,771.074,1
1,squadron,8,2.352,0,0,3.25,3.1,NN,843.792,0.73,781.542,0.889
1,squall,6,1.322,0,5,1.95,1.75,NN,681.7,0.94,673.444,1
1,squander,8,1.491,0,0,2.7,2.45,VB,830.273,1,819.5,1
1,squash,6,2.35,0,3,1.9,1.65,NN|VB,600.515,0.97,658.538,1
1,squawk,6,1.944,1,3,2.35,1.85,VB,741.143,0.88,728.926,0.964
1,squeaky,7,2.009,1,4,2.65,2.1,JJ,671.515,0.97,775.64,1
1,squeal,6,2.137,1,3,2.15,1.75,VB|NN,685.387,0.97,711.357,1
1,squealer,8,1.532,2,6,2.6,2.2,NN,691.879,0.94,750.222,1
1,squeamish,9,1.663,0,0,3.8,2.6,JJ,802.704,0.79,813.346,0.963
1,squeeze,7,2.886,0,4,2.8,1.75,VB|NN,605.353,1,645.958,1
1,squint,6,1.716,1,0,1.85,1.95,VB,735.258,0.89,782.037,1
1,squirm,6,1.633,2,1,2.35,2.4,VB|NN,676.552,0.88,721.857,1
1,squirrel,8,2.447,0,0,2.85,3.35,NN|VB,751.706,0.97,717.889,1
1,stab,4,2.651,9,9,1.45,1.35,NN|VB,627.029,1,673.926,1
1,stability,9,1.959,1,0,2.5,2.75,NN,685.969,0.97,719.321,1
1,stabilize,9,1.887,0,0,2.8,2.8,VB,692.844,0.94,704.821,1
1,stabilizer,10,1.462,2,1, , ,NN, , , , 
1,stagecoach,10,1.716,0,0,5,5,NN,698.879,1,758,1
1,stagger,7,1.491,3,6,2.05,1.85,VB,703.594,0.97,725.24,0.962
1,stagnant,8,1.176,0,0,3.3,3.1,JJ,927.8,0.74,742.071,1
1,stainless,9,1.58,0,1,2.7,2.55,JJ,763.879,1,702.231,0.963
1,stair,5,1.845,3,14,1.75,1.25,NN,704.029,1,695.536,1
1,staircase,9,1.954,0,0,3.55,3.5,NN,645.676,1,700.464,1
1,stairwell,9,2.037,0,0,3.75,3.5,NN,608.742,1,677.483,1
1,stakeout,8,2.004,0,0,3.7,3.1,NN,738.552,0.91,724.68,0.962
1,stale,5,2.176,13,22,1.25,1,JJ,707.767,0.88,701.607,1
1,stalemate,9,1.398,0,0,3.65,3.45,NN,905.28,0.78,820.077,1
1,stalk,5,1.94,5,9,1.7,1.4,VB|NN,645.667,1,696.393,1
1,stallion,8,2.215,1,2,2.7,2.6,NN,723.387,0.94,732.857,1
1,stamina,7,1.914,0,0,2.35,2.7,NN,819.633,0.91,809.92,0.962
1,stampede,8,1.839,0,0,2.65,2.55,NN|VB,786.706,0.97,762.179,1
1,standardized,12,1.613,1,0,4.6,4.3,JJ,712.344,0.97,727.259,1
1,standby,7,2.182,0,0,2.8,3.75,JJ,655.531,0.97,633.074,1
1,standpoint,10,1.839,0,0,4.2,4.65,NN,727.667,0.97,722.724,1
1,standstill,10,1.431,0,0,4.55,4.5,JJ,874.588,1,709.926,1
1,starboard,9,2.525,0,0,3.05,3.65,VB|NN,727.172,0.88,697.929,1
1,starch,6,1.845,3,7,1.85,1.8,NN|VB,596.125,1,675.276,1
1,stardom,7,1.505,0,1,3,2.4,NN,862.516,0.91,688.464,1
1,stardust,8,1.613,0,0,3,3.8,NN,719.121,1,692.63,1
1,starfish,8,1.591,0,1,2.95,3.35,NN,689.939,1,652.857,1
1,starlet,7,1.491,2,4,1.9,2.35,NN,777.286,0.82,706.792,0.923
1,starlight,9,1.914,0,2,2.95,3.05,NN,700.515,1,647.821,1
1,starry,6,1.58,1,11,1.95,1.55,JJ,776.16,0.76,677.792,0.923
1,start,5,4.239,6,10,1.55,1.45,VB|NN,567.697,0.97,623.63,1
1,starter,7,2.146,3,4,1.9,1.8,NN,691.848,1,657.192,1
1,startle,7,1.785,0,1,1.95,2.3,VB,721.906,0.94,740.63,1
1,startling,9,1.851,0,0,2.25,2.65,JJ|VB,761,0.97,712.643,1
1,starvation,10,1.881,0,0,3.2,3.7,NN,804.562,1,684.571,1
1,starve,6,2.498,1,7,1.85,1.65,VB,801.724,0.85,728.577,0.929
1,starving,8,2.938,3,3,1.8,1.95,VB,657.882,1,664.036,1
1,stat,4,2.158,12,13,1.35,1.2, ,752.435,0.74,679,1
1,state,5,3.74,9,17,1.35,1.1,NN|VB,631.219,0.94,659.25,1
1,stately,7,1.38,0,3,2.45,2,JJ,724.067,0.88,713.556,1
1,statement,9,3.174,0,0,2.9,2.65,NN,628.206,0.97,696.519,1
1,stateroom,9,1.623,0,0,3.5,3.45,NN,943.968,0.91,799.217,0.92
